"","Station","nmi","Pre4","Pre3","Pre2","Pre1","Recruit","Post","TotMales","JuvFems","MatFems","TotFems"
"1","101","0.50","7.00","4.00","2.00","0.00","0.00","0.00","13.00","4.00","0.00","4.00"
"2","102","0.50","13.00","45.00","14.00","0.00","1.00","0.00","73.00","21.00","0.00","21.00"
"3","103","0.49","16.00","9.00","3.00","0.00","0.00","0.00","28.00","13.00","1.00","14.00"
"4","104","0.49","6.00","5.00","0.00","0.00","0.00","0.00","11.00","8.00","0.00","8.00"
"5","105","0.50","2.00","6.00","1.00","0.00","0.00","0.00","9.00","4.00","0.00","4.00"
"6","106","0.50","8.00","5.00","4.00","0.00","0.00","0.00","17.00","9.90","1.10","11.00"
"7","107","0.50","30.00","41.00","4.00","1.00","0.00","0.00","76.00","2.00","43.00","45.00"
"8","108","0.50","1.00","0.00","0.00","0.00","0.00","0.00","1.00","4.00","0.00","4.00"
"9","109","0.50","1.00","2.00","0.00","0.00","0.00","0.00","3.00","0.00","0.00","0.00"
"10","110","0.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11","111","0.50","0.00","1.00","0.00","0.00","0.00","0.00","1.00","2.00","0.00","2.00"
"12","112","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"13","113","0.50","17.00","2.00","0.00","0.00","0.00","0.00","19.00","17.00","0.00","17.00"
"14","114","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.00","0.00","2.00"
"15","116","0.50","11.61","3.87","34.84","158.71","30.97","0.00","240.00","23.00","91.00","114.00"
"16","117","0.50","3.00","2.00","1.00","2.00","0.00","0.00","8.00","3.00","2.00","5.00"
"17","118","0.50","2.60","10.39","38.96","103.88","18.18","0.00","174.00","67.34","191.66","259.00"
"18","119","0.50","16.00","5.00","1.00","0.00","0.00","0.00","22.00","5.00","0.00","5.00"
"19","120","0.50","23.00","3.00","0.00","0.00","0.00","0.00","26.00","15.00","0.00","15.00"
"20","121","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.00","6.00"
"21","122","0.50","13.00","2.00","2.00","1.00","0.00","0.00","18.00","12.00","0.00","12.00"
"22","123","0.50","7.00","0.00","0.00","0.00","0.00","0.00","7.00","8.00","0.00","8.00"
"23","124","0.47","0.00","34.26","45.68","256.96","45.68","11.42","394.00","60.77","650.23","711.00"
"24","125","0.50","3.15","14.18","29.93","58.29","7.88","1.58","115.00","8.00","0.00","8.00"
"25","126","0.50","445.48","2291.05","3118.37","4582.10","0.00","0.00","10437.00","2259.00","0.00","2259.00"
"26","127","0.50","0.00","0.00","19.63","117.78","58.89","15.70","212.00","15.00","27.00","42.00"
"27","128","0.50","0.00","17.70","44.25","283.17","97.34","26.55","469.00","8.04","192.96","201.00"
"28","129","0.51","2.00","1.00","3.00","22.00","4.00","0.00","32.00","6.00","20.00","26.00"
"29","130","0.50","1.04","0.00","5.22","50.12","14.62","0.00","71.00","3.06","218.94","222.00"
"30","131","0.50","5.00","2.00","4.00","16.00","3.00","2.00","32.00","5.00","46.00","51.00"
"31","132","0.45","0.00","1.00","2.00","9.00","3.00","1.00","16.00","0.00","14.00","14.00"
"32","133","0.50","1.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","1.00"
"33","134","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"34","135","0.50","0.00","0.00","0.00","1.00","0.00","1.00","2.00","1.00","1.00","2.00"
"35","136","0.50","3.00","6.00","10.00","8.00","3.00","0.00","30.00","27.00","55.00","82.00"
"36","137","0.50","4.00","0.00","2.00","0.00","1.00","0.00","7.00","10.00","5.00","15.00"
"37","138","0.50","1.00","0.00","0.00","0.00","0.00","0.00","1.00","2.00","0.00","2.00"
"38","140","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","1.00"
"39","141","0.50","3.00","0.00","0.00","0.00","0.00","0.00","3.00","0.00","0.00","0.00"
