"","Year","Pre-4","Pre-4_CI","Pre-3","Pre-3_CI","Pre-2n","Pre-2n_CI","Pre-2o","Pre-2o_CI","Pre-1n","Pre-1n_CI","Pre-1o","Pre-1o_CI","Rn","Rn_CI","Ro","Ro_CI","PRn","PRn_CI","PRo","PRo_CI"
"1",1990,496674,322407,722894,462342,603573,334476,10377,8066,451921,273808,40771,24750,145207,89991,172999,258591,12281,11036,57936,98673
"2",1991,293894,301295,277640,199491,769866,332296,32934,25892,738741,289904,109418,81285,262221,166977,172790,147249,42750,24414,22054,21614
"3",1992,237159,193531,125034,65574,420582,232111,34475,28923,699401,380133,203058,217853,841935,637336,134044,166316,54457,37347,25419,36382
"4",1993,578321,342389,89958,45841,122621,63936,12627,9155,219461,81132,106046,88697,277395,132059,182475,194611,41897,23964,16730,18238
"5",1994,312332,238873,210142,116375,123709,54183,9131,7747,96021,48749,62569,42345,67540,42295,97154,84872,6755,8350,21751,20071
"6",1995,356090,250231,389839,270099,547120,497579,18605,14564,466315,498911,40010,30818,187853,227154,72949,87993,7598,10507,9964,14124
"7",1996,186397,145638,44644,41097,370596,504082,152320,136810,418546,452683,182538,131686,52123,35944,49199,41444,0,0,0,0
"8",1997,171929,94870,123219,56398,280513,115500,7349,7095,286733,142682,39304,22354,131079,78239,11311,8333,721,1535,0,0
"9",1998,325474,246482,19208,14877,13032,10990,10973,8105,126621,117714,68428,85095,128912,105585,70770,119967,6126,8166,0,0
"10",1999,911483,1053308,1160291,1307932,611147,483978,86495,47353,119825,104266,80838,105355,60056,61542,41827,63521,857,1825,1542,3285
"11",2000,513366,484620,453588,385289,374131,244961,16853,9198,367893,193458,12664,10759,72355,62342,8461,8226,0,0,1558,3319
"12",2001,1619958,1424833,655741,651717,295442,233112,23664,19751,291470,245292,100999,121308,71087,58767,24336,29442,0,0,1527,3253
"13",2002,2027607,1530058,1275475,908968,470715,320505,28883,26409,193703,166590,17333,14740,86220,69943,1790,2626,0,0,0,0
"14",2003,1228442,785663,1188614,765382,671434,346494,38812,24763,269638,144600,19256,12505,37338,38073,11379,15764,0,0,0,0
"15",2004,671544,383097,1119199,815602,952916,608965,84773,92629,567194,355612,116727,138214,85104,72951,25826,39565,0,0,0,0
"16",2005,1043700,883598,185975,185648,97374,72785,89613,100359,173290,132424,174049,289264,27582,13707,18094,33534,0,0,0,0
"17",2006,1029633,1391906,154867,228045,187480,239348,43426,34892,184778,275263,42544,62194,201015,264191,13505,19804,0,0,0,0
"18",2007,339466,226565,92716,118151,148046,269536,28121,46494,278535,481091,94526,152167,46048,70374,115685,191090,771,1643,0,0
"19",2008,548050,384258,223927,374688,93492,90155,60401,72864,136701,117961,98126,186229,60820,56053,40049,73508,2665,5678,0,0
"20",2009,1000556,767836,643343,644835,798415,672235,54097,44234,422420,378450,132365,151482,106865,141846,37017,49983,0,0,0,0
"21",2011,4110124,1938379,159347,97816,16151,16343,24341,15293,9138,12418,85620,81427,12548,21626,30112,35746,0,0,0,0
"22",2012,2032095,742104,2532729,1241798,169988,74234,18277,14400,4576,5033,52637,35955,0,0,21408,20993,0,0,0,0
"23",2013,925729,412520,680678,260001,1300168,533286,90386,68578,74796,38172,66449,62096,1892,2680,33570,31612,0,0,2616,4155
"24",2017,234313,111486,553408,442525,219796,232654,10675,10330,94281,100166,16392,20616,4458,6621,2619,5303,0,0,0,0
"25",2018,563675,812249,2997244,5631263,4065186,6768799,167385,192423,153509,130582,40561,68547,5512,7993,0,0,0,0,0,0
